event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description,event_date,event_time,weekday,month,country,city,latitude,longitude
Narrenzunft Lörrach 1936 – Zunftabende & Umzüge,2026-02-04 20:26:00,,,,Fasnacht / Vereinsveranstaltungen,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Alte Halle Haagen & Innenstadt Lörrach,Lörrach (DE),Winter,Ja,Fasnacht & Vereinsfreunde,Narrenzunft Lörrach 1936 e.V.,https://www.instagram.com/narrenzunft.loerrach/,https://www.narrenzunft-loerrach.de/,0.3,"Narrenzunft Lörrach 1936 – Zunftabende & Umzüge findet in Alte Halle Haagen & Innenstadt Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-04,20:26,Wednesday,2.0,DE,Lörrach,47.615,7.6646
Weihnachtsmarkt Weil am Rhein,2025-11-29 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Lindenplatz, Alt-Weil, Weil am Rhein",Weil am Rhein (DE),Autumn,Ja,Weihnachtsmarktbesucher,Stadt Weil am Rhein,https://www.instagram.com/stadt_weilamrhein/,https://www.weil-am-rhein.de/de/Tourismus-Freizeit/Veranstaltungen/Weihnachtsmarkt,0.3,"Weihnachtsmarkt Weil am Rhein findet in Lindenplatz, Alt-Weil, Weil am Rhein, Weil am Rhein statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-29,20:25,Saturday,11.0,DE,Weil am Rhein,47.5939,7.62
Weihnachtsmärkte Südbaden 2025,2025-11-27 20:25:00,,,,Weihnachtsmärkte / Winterevents,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden)",Freiburg (DE),Autumn,Ja,Winter- & Weihnachtsmarktbesucher,Tourismus Baden-Württemberg,https://www.instagram.com/visitbawu/,https://www.tourismus-bw.de/,0.9,"Weihnachtsmärkte Südbaden 2025 findet in Region Südbaden (u.a. Lörrach, Freiburg, Rheinfelden), Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-27,20:25,Thursday,11.0,DE,Freiburg,47.999,7.8421
Burghof Lörrach – Abdelkarim: Plan Z,2025-10-18 20:00:00,,,,Kabarett / Comedy Show,Nein,None,25.0,40.0,EUR,paid,mid,,,unknown,20.0,60.0,All Ages,Burghof Lörrach,Lörrach (DE),Autumn,Ja,Kabarett- & Comedyfans,Burghof Lörrach GmbH,https://www.instagram.com/burghofloerrach/,https://www.burghof.com/programm/,0.8,"Burghof Lörrach – Abdelkarim: Plan Z findet in Burghof Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-10-18,20:00,Saturday,10.0,DE,Lörrach,47.6132,7.6627
Weindorf Lörrach,2025-06-18 20:25:00,,,,Weinfest / Genuss & Social,Nein,None,,,EUR,,,50.0,200.0,medium (100–500),18.0,70.0,All Ages,"Alter Markt, Lörrach",Lörrach (DE),Summer,Ja,Weinliebhaber & Kulturfreunde,Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Weindorf Lörrach findet in Alter Markt, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-06-18,20:25,Wednesday,6.0,DE,Lörrach,47.615,7.6646
Weinmarkt Tüllingen Lörrach,2025-09-07 00:00:00,,,,Weinmarkt / Markt & Genuss,Nein,None,,,EUR,,,,,unknown,18.0,70.0,All Ages,"Ortskern Tüllingen, Lörrach",Lörrach (DE),Autumn,Ja,Wein- & Genussfreunde,Stadtteilverein Tüllingen,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Weinmarkt Tüllingen Lörrach findet in Ortskern Tüllingen, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-07,00:00,Sunday,9.0,DE,Lörrach,47.615,7.6646
Canoë-Kayak Mulhouse Riedisheim – Portes Ouvertes,2025-09-03 20:25:00,,,,Outdoor / Kanu & Kayak,Nein,None,,,EUR,,,,,unknown,12.0,50.0,All Ages,"Base Canoë-Kayak, Riedisheim (Mulhouse)",Mulhouse (FR),Autumn,Nein,Outdoor- & Wassersportfans,Canoë-Kayak Club Mulhouse Riedisheim,https://www.instagram.com/canoekayakmulhouse/,https://www.mulhouse-alsace.fr/en/what-to-do/agenda/,0.9,"Canoë-Kayak Mulhouse Riedisheim – Portes Ouvertes findet in Base Canoë-Kayak, Riedisheim (Mulhouse), Mulhouse statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-03,20:25,Wednesday,9.0,FR,Mulhouse,47.7508,7.3359
Canoë-Kayak Mulhouse – Explor’Assos,2025-09-07 00:00:00,,,,Outdoor / Kanu & Sport,Nein,None,,,EUR,,,,,unknown,12.0,50.0,All Ages,"Riedisheim, Mulhouse",Mulhouse (FR),Autumn,Nein,Sportinteressierte & Familien,Base Canoë-Kayak Riedisheim,https://www.instagram.com/canoekayakmulhouse/,https://www.mulhouse-alsace.fr/en/what-to-do/agenda/,0.9,"Canoë-Kayak Mulhouse – Explor’Assos findet in Riedisheim, Mulhouse, Mulhouse statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-07,00:00,Sunday,9.0,FR,Mulhouse,47.7508,7.3359
Weihnachtsmarkt Freiburg,2025-11-20 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Freiburg,Freiburg (DE),Autumn,Ja,Weihnachtsmarkt-Besucher,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,"Weihnachtsmarkt Freiburg findet in Innenstadt Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-20,20:25,Thursday,11.0,DE,Freiburg,47.999,7.8421
Herdermer Weihnachtsmarkt Freiburg,2025-12-18 00:00:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,"Kirchplatz Herdern, Freiburg",Freiburg (DE),Winter,Ja,Stadtteilbewohner & Weihnachtsmarktfreunde,Gemeinde Herdern Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,"Herdermer Weihnachtsmarkt Freiburg findet in Kirchplatz Herdern, Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-18,00:00,Thursday,12.0,DE,Freiburg,47.999,7.8421
Basel Fasnacht 2026,2026-02-23 20:26:00,,,,Fasnacht / Karneval,Nein,None,,,CHF,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Basel,Basel (CH),Winter,Ja,Fasnacht- & Brauchtumsfans,Comité Basler Fasnacht,https://www.instagram.com/baslerfasnacht/,https://www.fasnacht-loerrach.de,0.9,"Basel Fasnacht 2026 findet in Innenstadt Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,CH,Basel,47.5596,7.5886
Jazz am See Titisee,2025-07-12 19:00:00,,,,Jazz Konzert / Open Air,Nein,None,20.0,40.0,EUR,paid,mid,,,unknown,20.0,70.0,All Ages,"Titisee, Schwarzwald",unknown,Summer,Nein,Jazz- & Musikliebhaber,Kulturverein Hochschwarzwald,https://www.instagram.com/hochschwarzwald/,https://www.basel.com/en/events,0.8,"Jazz am See Titisee findet in Titisee, Schwarzwald, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-07-12,19:00,Saturday,7.0,,,,
Museumsnacht Weil am Rhein,2025-09-20 18:00:00,,,,Kultur / Museumsnacht,Nein,None,10.0,15.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,All Ages,Weil am Rhein (mehrere Museen),Weil am Rhein (DE),Autumn,Ja,Kultur- & Museumsfreunde,Museen Weil am Rhein,https://www.instagram.com/stadtweilamrhein/,https://www.basel.com/en/events,0.8,"Museumsnacht Weil am Rhein findet in Weil am Rhein (mehrere Museen), Weil am Rhein statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-20,18:00,Saturday,9.0,DE,Weil am Rhein,47.5939,7.62
Kunstmarkt Riehen,2025-09-28 10:00:00,,,,Kunstmarkt / Outdoor,Nein,None,,,,,,,,unknown,,,All Ages,"Riehen, Schweiz",unknown,Autumn,Nein,Kunstliebhaber & Familien,Kulturverein Riehen,https://www.instagram.com/kultur_riehen/,https://www.basel.com/en/events,0.8,"Kunstmarkt Riehen findet in Riehen, Schweiz, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-28,10:00,Sunday,9.0,,,,
Food Truck Festival Basel,2025-10-10 20:25:00,,,,Street Food / Genuss Festival,Nein,Multigenre,,,CHF,,,10000.0,,large (>500),16.0,60.0,All Ages,"Basel, Kleinbasel",Basel (CH),Autumn,Ja,Foodies & Festivalbesucher,Food Truck Festival Basel,https://www.instagram.com/foodtruckfestival/,https://www.basel.com/en/events,0.8,"Food Truck Festival Basel findet in Basel, Kleinbasel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-10-10,20:25,Friday,10.0,CH,Basel,47.5596,7.5886
Weihnachtscircus Lörrach,2025-12-20 20:26:00,,,,Circus / Familienunterhaltung,Nein,None,20.0,60.0,EUR,paid,mid,,,unknown,,,All Ages,Lörrach Messegelände,Lörrach (DE),Winter,Ja,Familien & Circusliebhaber,Weihnachtscircus Lörrach,https://www.instagram.com/weihnachtscircus/,https://www.loerrach.de/veranstaltungen,0.9,"Weihnachtscircus Lörrach findet in Lörrach Messegelände, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-20,20:26,Saturday,12.0,DE,Lörrach,47.615,7.6646
Jugendkulturfestival Weil am Rhein,2025-09-13 00:00:00,,,,Jugendkultur / Musik & Tanz / Workshop,Ja,None,,,EUR,,,500.0,5000.0,large (>500),12.0,30.0,All Ages,Innenstadt Weil am Rhein,Weil am Rhein (DE),Autumn,Ja,Jugend & junge Erwachsene,Stadt Weil am Rhein,https://www.instagram.com/jugendkulturweil/,https://www.basel.com/en/events,0.8,"Jugendkulturfestival Weil am Rhein findet in Innenstadt Weil am Rhein, Weil am Rhein statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-13,00:00,Saturday,9.0,DE,Weil am Rhein,47.5939,7.62
Winterzauber Bad Säckingen,2025-11-28 20:25:00,,,,Weihnachtsmarkt / Winterevent,Nein,None,,,,,,300.0,2000.0,large (>500),,,All Ages,Altstadt Bad Säckingen,unknown,Autumn,Nein,Familien & Weihnachtsmarktbesucher,Stadt Bad Säckingen,https://www.instagram.com/badsaeckingen/,https://www.basel.com/en/events,0.8,"Winterzauber Bad Säckingen findet in Altstadt Bad Säckingen, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-28,20:25,Friday,11.0,,,,
Lichterfest Basel,2025-10-15 20:25:00,,,,Lichtkunst / Kunstfestival,Nein,Multigenre,,,CHF,,,10000.0,,large (>500),,,All Ages,Innenstadt Basel,Basel (CH),Autumn,Ja,Kunst- & Kulturfreunde,Stadt Basel Kulturamt,https://www.instagram.com/basellive/,https://www.basel.com/en/events,0.8,"Lichterfest Basel findet in Innenstadt Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-10-15,20:25,Wednesday,10.0,CH,Basel,47.5596,7.5886
Fasnacht Kinderumzug Riehen,2026-02-24 14:00:00,,,,Fasnacht / Kinderumzug,Nein,None,,,,,,300.0,2000.0,large (>500),4.0,14.0,All Ages,"Innenstadt Riehen, Schweiz",unknown,Winter,Nein,Kinder & Familien,Fasnachtskomitee Riehen,https://www.instagram.com/riehen_kultur/,https://www.fasnacht-loerrach.de,0.9,"Fasnacht Kinderumzug Riehen findet in Innenstadt Riehen, Schweiz, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-24,14:00,Tuesday,2.0,,,,
Welthaus Freiburg – Weltkino & Vorträge,2025-09-20 20:25:00,,,,Film & Vorträge / Globalthemen,Ja,Swing/Balboa,5.0,10.0,EUR,paid,low,,,unknown,18.0,70.0,All Ages,Welthaus Freiburg,Freiburg (DE),Autumn,Ja,Studierende & Kulturinteressierte,Welthaus Freiburg,https://www.instagram.com/welthaus_freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Welthaus Freiburg – Weltkino & Vorträge findet in Welthaus Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-20,20:25,Saturday,9.0,DE,Freiburg,47.999,7.8421
Winterlichter Freiburg,2025-12-01 20:25:00,,,,Weihnachtsmarkt & Lichtinstallation,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Freiburg,Freiburg (DE),Winter,Ja,Weihnachts- & Kulturfreunde,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,"Winterlichter Freiburg findet in Innenstadt Freiburg, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-01,20:25,Monday,12.0,DE,Freiburg,47.999,7.8421
Freibaderöffnung Parkschwimmbad Lörrach,2025-05-19 00:00:00,,,,Outdoor / Schwimmbad-Event,Nein,None,5.0,10.0,EUR,paid,low,,,unknown,,,All Ages,Parkschwimmbad Lörrach,Lörrach (DE),Spring,Ja,Familien & Sportfreunde,Stadtwerke Lörrach / Parkschwimmbad,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Freibaderöffnung Parkschwimmbad Lörrach findet in Parkschwimmbad Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-05-19,00:00,Monday,5.0,DE,Lörrach,47.615,7.6646
Impulsiv Lörrach – Freizeit & After Work Events,2025-09-18 00:00:00,,,,Freizeit / Sport / Social,Nein,None,5.0,20.0,EUR,paid,low,50.0,200.0,medium (100–500),16.0,50.0,All Ages,"Impulsiv Freizeitcenter, Lörrach",Lörrach (DE),Autumn,Ja,Jugend & Erwachsene,Impulsiv Freizeitcenter Lörrach,https://www.instagram.com/impulsivloerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Impulsiv Lörrach – Freizeit & After Work Events findet in Impulsiv Freizeitcenter, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-18,00:00,Thursday,9.0,DE,Lörrach,47.615,7.6646
Fasnachts-Zunftabend Zänzeler e.V.,2026-02-07 20:00:00,,,,Fasnacht / Vereinsabend,Nein,None,10.0,20.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,All Ages,"Zänzeler Zunfthalle, Lörrach",Lörrach (DE),Winter,Ja,Fasnacht- & Vereinsfreunde,Zänzeler Fasnachtsverein Lörrach,https://www.instagram.com/zanzeleclique/,https://www.fasnacht-loerrach.de,0.9,"Fasnachts-Zunftabend Zänzeler e.V. findet in Zänzeler Zunfthalle, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-07,20:00,Saturday,2.0,DE,Lörrach,47.615,7.6646
Fasnachts-Seniorennachmittag Zänzeler,2026-02-08 14:00:00,,,,Fasnacht / Seniorennachmittag,Nein,None,,,EUR,,,300.0,2000.0,large (>500),60.0,,40+,"Zänzeler Zunfthalle, Lörrach",Lörrach (DE),Winter,Ja,Senioren & Familien,Zänzeler Fasnachtsverein Lörrach,https://www.instagram.com/zanzeleclique/,https://www.fasnacht-loerrach.de,0.9,"Fasnachts-Seniorennachmittag Zänzeler findet in Zänzeler Zunfthalle, Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-08,14:00,Sunday,2.0,DE,Lörrach,47.615,7.6646
Schüler-Weihnachtskonzert Musikschule Lörrach,2025-12-18 18:30:00,,,,Schülerkonzert / Weihnachten,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Städtische Musikschule Lörrach,Lörrach (DE),Winter,Ja,Familien & Musikfreunde,Musikschule Lörrach,https://www.instagram.com/musikschule_loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Schüler-Weihnachtskonzert Musikschule Lörrach findet in Städtische Musikschule Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-18,18:30,Thursday,12.0,DE,Lörrach,47.615,7.6646
Weihnachtsmarkt St. Blasien – Glühwein & Kunsthandwerk,2025-12-06 20:25:00,,,,Weihnachtsmarkt / Kunsthandwerk,Nein,None,,,,,,300.0,2000.0,large (>500),,,All Ages,"St. Blasien, Schwarzwald",unknown,Winter,Nein,Weihnachtsmarkt- & Kunstfreunde,Stadt St. Blasien,https://www.instagram.com/stblasien/,https://www.basel.com/en/events,0.8,"Weihnachtsmarkt St. Blasien – Glühwein & Kunsthandwerk findet in St. Blasien, Schwarzwald, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-06,20:25,Saturday,12.0,,,,
Bad Bellingen Lichterzauber,2025-12-15 20:25:00,,,,Licht- & Winterevent,Nein,None,,,,,,,,unknown,,,All Ages,Kurpark Bad Bellingen,unknown,Winter,Nein,Familien & Winterbesucher,Tourismus Bad Bellingen,https://www.instagram.com/bad_bellingen/,https://www.basel.com/en/events,0.8,"Bad Bellingen Lichterzauber findet in Kurpark Bad Bellingen, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-15,20:25,Monday,12.0,,,,
Basel Tattoo 2026,2026-07-18 00:00:00,,,,Musik / Show / Großveranstaltung,Nein,None,40.0,120.0,CHF,paid,high,,,unknown,,,All Ages,Kaserne Basel,Basel (CH),Summer,Ja,Musik- & Showfans,Basel Tattoo Productions,https://www.instagram.com/baseltattoo/,https://www.basel.com/en/events,0.8,"Basel Tattoo 2026 findet in Kaserne Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-07-18,00:00,Saturday,7.0,CH,Basel,47.5666,7.5937
Stage X – Offene Bühne Freiburg,2025-09-03 00:00:00,,,,Open Mic / Musik / Community,Nein,None,,,EUR,,,,,unknown,16.0,50.0,All Ages,Kulturhaus Freiburg Innenstadt,Freiburg (DE),Autumn,Ja,Musiker & Musikfans,Stage X Freiburg,https://www.instagram.com/stagexfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Stage X – Offene Bühne Freiburg findet in Kulturhaus Freiburg Innenstadt, Freiburg statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-03,00:00,Wednesday,9.0,DE,Freiburg,47.999,7.8421
Weihnachtszauber Weil am Rhein,2025-12-01 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Weil am Rhein,Weil am Rhein (DE),Winter,Ja,Weihnachtsmarktbesucher,Stadt Weil am Rhein,https://www.instagram.com/stadt_weilamrhein/,https://www.basel.com/en/events,0.8,"Weihnachtszauber Weil am Rhein findet in Innenstadt Weil am Rhein, Weil am Rhein statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-01,20:25,Monday,12.0,DE,Weil am Rhein,47.5939,7.62
Zumba Flashmob Basel,2025-09-05 18:00:00,,,,Tanz / Social / Flashmob,Ja,None,,,CHF,,,50.0,200.0,medium (100–500),12.0,50.0,All Ages,Münsterplatz Basel,Basel (CH),Autumn,Ja,Tanzbegeisterte & Fitnessfreunde,Zumba Community Basel,https://www.instagram.com/zumba_basel/,https://www.basel.com/en/events,0.8,"Zumba Flashmob Basel findet in Münsterplatz Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-09-05,18:00,Friday,9.0,CH,Basel,47.5596,7.5886
Seniorenball Lörrach,2025-11-22 19:30:00,,,,Ball / Tanzveranstaltung,Ja,Swing/Balboa,15.0,30.0,EUR,paid,mid,50.0,200.0,medium (100–500),60.0,,40+,Burghof Lörrach,Lörrach (DE),Autumn,Ja,Senioren & Tanzfreunde,Burghof Lörrach GmbH,https://www.instagram.com/burghofloerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Seniorenball Lörrach findet in Burghof Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-22,19:30,Saturday,11.0,DE,Lörrach,47.6132,7.6627
Adventskonzert Basel Musikverein,2025-12-05 19:00:00,,,,Konzert / Adventsmusik,Nein,None,20.0,50.0,CHF,paid,mid,,,unknown,30.0,80.0,All Ages,Musikverein Basel,Basel (CH),Winter,Ja,Klassik- & Konzertfreunde,Basler Musikverein,https://www.instagram.com/musikvereinbasel/,https://www.basel.com/en/events,0.8,"Adventskonzert Basel Musikverein findet in Musikverein Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-12-05,19:00,Friday,12.0,CH,Basel,47.5596,7.5886
Weihnachtsmarkt Riehen,2025-11-27 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,,,300.0,2000.0,large (>500),,,All Ages,"Innenstadt Riehen, Schweiz",unknown,Autumn,Nein,Weihnachtsmarktbesucher,Stadt Riehen,https://www.instagram.com/riehenkultur/,https://www.basel.com/en/events,0.8,"Weihnachtsmarkt Riehen findet in Innenstadt Riehen, Schweiz, nan statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-11-27,20:25,Thursday,11.0,,,,
Lörrach Open Air Sommerkonzert,2025-07-17 20:00:00,,,,Open Air Konzert / Pop / Rock,Nein,None,20.0,60.0,EUR,paid,mid,,,unknown,16.0,60.0,All Ages,Burghof Lörrach Außenbühne,Lörrach (DE),Summer,Ja,Konzertbesucher,Burghof Lörrach GmbH,https://www.instagram.com/burghofloerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Lörrach Open Air Sommerkonzert findet in Burghof Lörrach Außenbühne, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-07-17,20:00,Thursday,7.0,DE,Lörrach,47.6132,7.6627
Kunstnacht Weil am Rhein,2025-10-11 18:00:00,,,,Kultur / Kunst & Musik / Nachtveranstaltung,Nein,None,10.0,20.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,All Ages,Innenstadt Weil am Rhein,Weil am Rhein (DE),Autumn,Ja,Kunst- & Kulturfreunde,Kulturamt Weil am Rhein,https://www.instagram.com/stadtweilamrhein/,https://www.basel.com/en/events,0.8,"Kunstnacht Weil am Rhein findet in Innenstadt Weil am Rhein, Weil am Rhein statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2025-10-11,18:00,Saturday,10.0,DE,Weil am Rhein,47.5939,7.62
