event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description
Stage X – Offene Bühne Freiburg,2025-09-03 00:00:00,,,,Open Mic / Musik / Community,Nein,None,,,EUR,,,,,unknown,16.0,50.0,13+,Kulturhaus Freiburg Innenstadt,Freiburg (DE),autumn,Ja,Musiker & Musikfans,Stage X Freiburg,https://www.instagram.com/stagexfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Stage X – Offene Bühne Freiburg | by Stage X Freiburg | on 2025-09-03 00:00:00 | in Kulturhaus Freiburg Innenstadt
Weihnachtszauber Weil am Rhein,2025-12-01 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Weil am Rhein,Weil am Rhein (DE),winter,Ja,Weihnachtsmarktbesucher,Stadt Weil am Rhein,https://www.instagram.com/stadt_weilamrhein/,https://www.basel.com/en/events,0.8,Weihnachtszauber Weil am Rhein | by Stadt Weil am Rhein | on 2025-12-01 20:25:00 | in Innenstadt Weil am Rhein
Zumba Flashmob Basel,2025-09-05 18:00:00,,,,Tanz / Social / Flashmob,Ja,None,,,CHF,,,50.0,200.0,medium (100–500),12.0,50.0,6+,Münsterplatz Basel,Basel (CH),autumn,Ja,Tanzbegeisterte & Fitnessfreunde,Zumba Community Basel,https://www.instagram.com/zumba_basel/,https://www.basel.com/en/events,0.8,Zumba Flashmob Basel | by Zumba Community Basel | on 2025-09-05 18:00:00 | in Münsterplatz Basel
Seniorenball Lörrach,2025-11-22 19:30:00,,,,Ball / Tanzveranstaltung,Ja,Swing/Balboa,15.0,30.0,EUR,paid,mid,50.0,200.0,medium (100–500),60.0,,18+,Burghof Lörrach,Lörrach (DE),autumn,Ja,Senioren & Tanzfreunde,Burghof Lörrach GmbH,https://www.instagram.com/burghofloerrach/,https://www.loerrach.de/veranstaltungen,0.9,Seniorenball Lörrach | by Burghof Lörrach GmbH | on 2025-11-22 19:30:00 | in Burghof Lörrach
Adventskonzert Basel Musikverein,2025-12-05 19:00:00,,,,Konzert / Adventsmusik,Nein,None,20.0,50.0,CHF,paid,mid,,,unknown,30.0,80.0,18+,Musikverein Basel,Basel (CH),winter,Ja,Klassik- & Konzertfreunde,Basler Musikverein,https://www.instagram.com/musikvereinbasel/,https://www.basel.com/en/events,0.8,Adventskonzert Basel Musikverein | by Basler Musikverein | on 2025-12-05 19:00:00 | in Musikverein Basel
Weihnachtsmarkt Riehen,2025-11-27 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,,,300.0,2000.0,large (>500),,,unknown,"Innenstadt Riehen, Schweiz",unknown,autumn,Nein,Weihnachtsmarktbesucher,Stadt Riehen,https://www.instagram.com/riehenkultur/,https://www.basel.com/en/events,0.8,"Weihnachtsmarkt Riehen | by Stadt Riehen | on 2025-11-27 20:25:00 | in Innenstadt Riehen, Schweiz"
Lörrach Open Air Sommerkonzert,2025-07-17 20:00:00,,,,Open Air Konzert / Pop / Rock,Nein,None,20.0,60.0,EUR,paid,mid,,,unknown,16.0,60.0,13+,Burghof Lörrach Außenbühne,Lörrach (DE),summer,Ja,Konzertbesucher,Burghof Lörrach GmbH,https://www.instagram.com/burghofloerrach/,https://www.loerrach.de/veranstaltungen,0.9,Lörrach Open Air Sommerkonzert | by Burghof Lörrach GmbH | on 2025-07-17 20:00:00 | in Burghof Lörrach Außenbühne
Kunstnacht Weil am Rhein,2025-10-11 18:00:00,,,,Kultur / Kunst & Musik / Nachtveranstaltung,Nein,None,10.0,20.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,13+,Innenstadt Weil am Rhein,Weil am Rhein (DE),autumn,Ja,Kunst- & Kulturfreunde,Kulturamt Weil am Rhein,https://www.instagram.com/stadtweilamrhein/,https://www.basel.com/en/events,0.8,Kunstnacht Weil am Rhein | by Kulturamt Weil am Rhein | on 2025-10-11 18:00:00 | in Innenstadt Weil am Rhein
Volksball Maulburg,2026-01-30 19:30:00,,,,Ball / Tanzveranstaltung,Ja,Swing/Balboa,15.0,30.0,EUR,paid,mid,50.0,200.0,medium (100–500),18.0,70.0,18+,Gemeindehalle Maulburg,Maulburg (DE),winter,Nein,Tanz- & Gesellschaftsfreunde,Gemeinde Maulburg,https://www.instagram.com/maulburg_event/,https://www.basel.com/en/events,0.8,Volksball Maulburg | by Gemeinde Maulburg | on 2026-01-30 19:30:00 | in Gemeindehalle Maulburg
Weihnachtskonzert der Stadtkapelle Lörrach,2025-12-20 18:00:00,,,,Konzert / Weihnachten,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,Stadthalle Lörrach,Lörrach (DE),winter,Ja,Familien & Musikliebhaber,Stadtkapelle Lörrach,https://www.instagram.com/stadtkapelleloerrach/,https://www.loerrach.de/veranstaltungen,0.9,Weihnachtskonzert der Stadtkapelle Lörrach | by Stadtkapelle Lörrach | on 2025-12-20 18:00:00 | in Stadthalle Lörrach
Tanz in den Mai Freiburg,2026-04-30 20:00:00,,,,Party / Tanz / Mai-Fest,Ja,None,10.0,20.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,40.0,13+,Innenstadt Freiburg,Freiburg (DE),spring,Ja,Party- & Tanzfreunde,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,Tanz in den Mai Freiburg | by Stadt Freiburg | on 2026-04-30 20:00:00 | in Innenstadt Freiburg
OpenAir Kino Kleinbasel,2026-07-18 00:00:00,,,,Open-Air Kino / Film,Nein,None,10.0,15.0,CHF,paid,mid,,,unknown,,,unknown,"Kleinbasel, Basel",Basel (CH),summer,Ja,Filmfans & Familien,OpenAir Kino Basel,https://www.instagram.com/openairkino_basel/,https://www.basel.com/en/events,0.8,"OpenAir Kino Kleinbasel | by OpenAir Kino Basel | on 2026-07-18 00:00:00 | in Kleinbasel, Basel"
Food & Wine Night Rheinfelden,2025-10-15 18:00:00,,,,Genuss / Wein & Kulinarik,Nein,None,20.0,40.0,EUR,paid,mid,,,unknown,25.0,65.0,18+,Altstadt Rheinfelden,unknown,autumn,Nein,Weinliebhaber & Genießer,Tourismus Rheinfelden,https://www.instagram.com/rheinfelden_event/,https://www.basel.com/en/events,0.8,Food & Wine Night Rheinfelden | by Tourismus Rheinfelden | on 2025-10-15 18:00:00 | in Altstadt Rheinfelden
Weihnachtszauber Müllheim,2025-12-01 20:25:00,,,,Weihnachtsmarkt / Advent,Nein,None,,,,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Müllheim (Baden),unknown,winter,Nein,Weihnachtsmarkt-Besucher,Stadt Müllheim,https://www.instagram.com/stadt.muellheim/,https://www.basel.com/en/events,0.8,Weihnachtszauber Müllheim | by Stadt Müllheim | on 2025-12-01 20:25:00 | in Innenstadt Müllheim (Baden)
Seniorenfasnacht Lörrach,2026-02-24 14:00:00,,,,Fasnacht / Seniorennachmittag,Nein,None,,,EUR,,,300.0,2000.0,large (>500),60.0,,18+,Innenstadt Lörrach,Lörrach (DE),winter,Ja,Senioren & Fasnachtsfreunde,Senioreninitiative Lörrach,https://www.instagram.com/narrenzunft.loerrach/,https://www.fasnacht-loerrach.de,0.9,Seniorenfasnacht Lörrach | by Senioreninitiative Lörrach | on 2026-02-24 14:00:00 | in Innenstadt Lörrach
Markt der Genüsse Freiburg,2025-10-10 11:00:00,,,,Genuss / Markt / Kulinarik,Nein,None,,,EUR,,,,,unknown,,,unknown,Münsterplatz Freiburg,Freiburg (DE),autumn,Ja,Foodies & Marktbesucher,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,Markt der Genüsse Freiburg | by Stadt Freiburg | on 2025-10-10 11:00:00 | in Münsterplatz Freiburg
Fasnacht Zofingen – Gastauftritt Lörracher Cliquen,2026-02-21 00:00:00,,,,Fasnacht / Umzug,Nein,None,,,EUR,,,300.0,2000.0,large (>500),,,unknown,"Innenstadt Zofingen, Schweiz",Lörrach (DE),winter,Nein,Fasnachtsfreunde,Fasnachtskomitee Zofingen,https://www.instagram.com/zofingenfasnacht/,https://www.fasnacht-loerrach.de,0.9,"Fasnacht Zofingen – Gastauftritt Lörracher Cliquen | by Fasnachtskomitee Zofingen | on 2026-02-21 00:00:00 | in Innenstadt Zofingen, Schweiz"
Basel Marathon Expo,2026-04-13 00:00:00,,,,Sportmesse / Marathon Rahmenprogramm,Nein,None,,,CHF,,,,,unknown,16.0,70.0,13+,Messeplatz Basel,Basel (CH),spring,Ja,Sport- & Marathonfans,Basel Marathon,https://www.instagram.com/baselmarathon/,https://www.basel.com/en/events,0.8,Basel Marathon Expo | by Basel Marathon | on 2026-04-13 00:00:00 | in Messeplatz Basel
Kinderweihnachtsmarkt Lörrach,2025-12-13 14:00:00,,,,Weihnachtsmarkt / Familien,Nein,None,,,EUR,,,300.0,2000.0,large (>500),3.0,14.0,all ages,"Senser Platz & Hebelpark, Lörrach",Lörrach (DE),winter,Ja,Kinder & Familien,Stadt Lörrach,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Kinderweihnachtsmarkt Lörrach | by Stadt Lörrach | on 2025-12-13 14:00:00 | in Senser Platz & Hebelpark, Lörrach"
Campus Open Day Universität Freiburg,2026-06-05 00:00:00,,,,Bildung / Tag der offenen Tür,Nein,None,,,EUR,,,,,unknown,16.0,60.0,13+,Universität Freiburg,Freiburg (DE),summer,Ja,Studierende & Familien,Universität Freiburg,https://www.instagram.com/uni_freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Campus Open Day Universität Freiburg | by Universität Freiburg | on 2026-06-05 00:00:00 | in Universität Freiburg
Winterlauf Lörrach,2026-01-15 10:00:00,,,,Laufveranstaltung / Sport,Nein,None,10.0,20.0,EUR,paid,mid,,,unknown,16.0,60.0,13+,Innenstadt Lörrach,Lörrach (DE),winter,Ja,Läufer & Sportfreunde,Stadt Lörrach,https://www.instagram.com/laufloerrach/,https://www.loerrach.de/veranstaltungen,0.9,Winterlauf Lörrach | by Stadt Lörrach | on 2026-01-15 10:00:00 | in Innenstadt Lörrach
Gondwana Festival Basel,2025-10-10 20:25:00,,,,Musik / Indie Festival,Nein,Multigenre,40.0,80.0,CHF,paid,high,10000.0,,large (>500),18.0,40.0,18+,"Basel, verschiedene Locations",Basel (CH),autumn,Ja,Festivalbesucher & Musikfans,Gondwana Festival Basel,https://www.instagram.com/gondwanafestival/,https://www.basel.com/en/events,0.8,"Gondwana Festival Basel | by Gondwana Festival Basel | on 2025-10-10 20:25:00 | in Basel, verschiedene Locations"
Theater Freiburg – Der Besuch der alten Dame,2025-11-28 20:00:00,,,,Theater / Schauspiel,Nein,None,15.0,40.0,EUR,paid,mid,,,unknown,16.0,80.0,13+,Stadttheater Freiburg,Freiburg (DE),autumn,Ja,Theater- & Kulturfreunde,Theater Freiburg,https://www.instagram.com/theater.freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Theater Freiburg – Der Besuch der alten Dame | by Theater Freiburg | on 2025-11-28 20:00:00 | in Stadttheater Freiburg
Winterball Weil am Rhein,2026-02-13 19:30:00,,,,Ball / Tanzveranstaltung,Ja,Swing/Balboa,20.0,40.0,EUR,paid,mid,50.0,200.0,medium (100–500),18.0,70.0,18+,Kulturzentrum Weil am Rhein,Weil am Rhein (DE),winter,Ja,Tanz- & Ballfreunde,Stadt Weil am Rhein,https://www.instagram.com/stadtweilamrhein/,https://www.basel.com/en/events,0.8,Winterball Weil am Rhein | by Stadt Weil am Rhein | on 2026-02-13 19:30:00 | in Kulturzentrum Weil am Rhein
Jugend Theaterworkshop Basel,2025-10-20 20:25:00,,,,Workshop / Theater / Jugend,Nein,None,50.0,100.0,CHF,paid,high,,,unknown,12.0,20.0,6+,Theater Basel,Basel (CH),autumn,Ja,Jugendliche & Theaterfreunde,Theater Basel,https://www.instagram.com/theaterbasel/,https://www.basel.com/en/events,0.8,Jugend Theaterworkshop Basel | by Theater Basel | on 2025-10-20 20:25:00 | in Theater Basel
Weihnachtskonzert Basel Cathedral Choir,2025-12-13 19:30:00,,,,Konzert / Advent / Klassik,Nein,None,20.0,40.0,CHF,paid,mid,,,unknown,25.0,80.0,18+,"Basler Münster, Basel",Basel (CH),winter,Ja,Klassikfreunde,Basel Cathedral Choir,https://www.instagram.com/baselermuenster/,https://www.basel.com/en/events,0.8,"Weihnachtskonzert Basel Cathedral Choir | by Basel Cathedral Choir | on 2025-12-13 19:30:00 | in Basler Münster, Basel"
Open House Vitra Design Museum,2026-05-08 00:00:00,,,,Kunst / Design / Ausstellungstag,Nein,None,,,EUR,,,,,unknown,16.0,70.0,13+,"Vitra Campus, Weil am Rhein",Weil am Rhein (DE),spring,Ja,Kunst- & Designfreunde,Vitra Design Museum,https://www.instagram.com/vitra/,https://www.basel.com/en/events,0.8,"Open House Vitra Design Museum | by Vitra Design Museum | on 2026-05-08 00:00:00 | in Vitra Campus, Weil am Rhein"
Sommerfest Jugendhaus Rheinfelden,2025-08-12 00:00:00,,,,Stadtteilfest / Musik & Kinderprogramm,Nein,None,,,,,,,,unknown,,,unknown,Jugendhaus Rheinfelden,unknown,summer,Nein,Familien & Jugendliche,Jugendhaus Rheinfelden,https://www.instagram.com/jugendhaus_rheinfelden/,https://www.basel.com/en/events,0.8,Sommerfest Jugendhaus Rheinfelden | by Jugendhaus Rheinfelden | on 2025-08-12 00:00:00 | in Jugendhaus Rheinfelden
Mittelaltermarkt Burg Rötteln,2026-05-17 20:26:00,,,,Mittelaltermarkt / Kultur / Markt,Nein,None,10.0,20.0,EUR,paid,mid,500.0,5000.0,large (>500),,,unknown,"Burg Rötteln, Lörrach",Lörrach (DE),spring,Ja,Familien & Mittelalterfans,Burg Rötteln Förderverein,https://www.instagram.com/burgroetteln/,https://www.loerrach.de/veranstaltungen,0.9,"Mittelaltermarkt Burg Rötteln | by Burg Rötteln Förderverein | on 2026-05-17 20:26:00 | in Burg Rötteln, Lörrach"
Theater Freiburg – Hexenabend,2025-10-31 20:00:00,,,,Theater / Schauspiel / Halloween,Nein,None,15.0,35.0,EUR,paid,mid,,,unknown,16.0,60.0,13+,Theater Freiburg,Freiburg (DE),autumn,Ja,Theater- & Halloweenfreunde,Theater Freiburg,https://www.instagram.com/theater.freiburg/,https://www.fasnacht-loerrach.de,0.9,Theater Freiburg – Hexenabend | by Theater Freiburg | on 2025-10-31 20:00:00 | in Theater Freiburg
Neujahrskonzert Kurhaus Badenweiler,2026-01-02 19:30:00,,,,Konzert / Klassik / Neujahr,Nein,None,20.0,50.0,EUR,paid,mid,,,unknown,30.0,80.0,18+,Kurhaus Badenweiler,Weil am Rhein (DE),winter,Ja,Klassik- & Kulturfreunde,Kurhaus Badenweiler,https://www.instagram.com/kurhaus_badenweiler/,https://www.basel.com/en/events,0.8,Neujahrskonzert Kurhaus Badenweiler | by Kurhaus Badenweiler | on 2026-01-02 19:30:00 | in Kurhaus Badenweiler
Museumsnacht Freiburg,2026-05-14 18:00:00,,,,Kultur / Nachtveranstaltung,Nein,None,10.0,20.0,EUR,paid,mid,300.0,2000.0,large (>500),16.0,70.0,13+,Innenstadt Freiburg (Museen),Freiburg (DE),spring,Ja,Kultur- & Museumsfreunde,Museen Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,Museumsnacht Freiburg | by Museen Freiburg | on 2026-05-14 18:00:00 | in Innenstadt Freiburg (Museen)
Basel Läuft Benefizlauf,2026-05-09 10:00:00,,,,Sport / Laufveranstaltung,Nein,None,20.0,40.0,CHF,paid,mid,,,unknown,16.0,60.0,13+,Innenstadt Basel,Basel (CH),spring,Ja,Läufer & Sportfreunde,Basel Läuft Organisation,https://www.instagram.com/basel_laeuft/,https://www.basel.com/en/events,0.8,Basel Läuft Benefizlauf | by Basel Läuft Organisation | on 2026-05-09 10:00:00 | in Innenstadt Basel
Open Stage Jazzclub Freiburg,2025-11-05 20:30:00,,,,Jazz / Open Stage / Musik,Nein,None,10.0,20.0,EUR,paid,mid,,,unknown,18.0,70.0,18+,Jazzhaus Freiburg,Freiburg (DE),autumn,Ja,Jazzliebhaber & Musiker,Jazzhaus Freiburg,https://www.instagram.com/jazzhausfreiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Open Stage Jazzclub Freiburg | by Jazzhaus Freiburg | on 2025-11-05 20:30:00 | in Jazzhaus Freiburg
Kindertheater – Rabe Socke,2025-12-12 15:00:00,,,,Theater / Kindertheater,Nein,None,10.0,20.0,EUR,paid,mid,,,unknown,3.0,10.0,all ages,Stadttheater Freiburg,Freiburg (DE),winter,Ja,Kinder & Familien,Theater Freiburg,https://www.instagram.com/theater.freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Kindertheater – Rabe Socke | by Theater Freiburg | on 2025-12-12 15:00:00 | in Stadttheater Freiburg
Weihnachts-Zauber Basel,2025-11-25 20:25:00,,,,Weihnachtsmarkt / Winterevent,Nein,None,,,CHF,,,300.0,2000.0,large (>500),,,unknown,Innenstadt Basel,Basel (CH),autumn,Ja,Weihnachtsmarktbesucher,Stadt Basel,https://www.instagram.com/basellive/,https://www.basel.com/en/events,0.8,Weihnachts-Zauber Basel | by Stadt Basel | on 2025-11-25 20:25:00 | in Innenstadt Basel
Theater Lörrach – Kabale und Liebe,2026-03-05 19:30:00,,,,Theater / Schauspiel,Nein,None,15.0,35.0,EUR,paid,mid,,,unknown,16.0,80.0,13+,Stadttheater Lörrach,Lörrach (DE),spring,Ja,Theaterfreunde,Theater Lörrach,https://www.instagram.com/theaterloerrach/,https://www.loerrach.de/veranstaltungen,0.9,Theater Lörrach – Kabale und Liebe | by Theater Lörrach | on 2026-03-05 19:30:00 | in Stadttheater Lörrach
Afterwork Vinyl & Drinks Basel,2025-10-15 18:00:00,,,,Musik / Social / DJ Event,Nein,None,,,CHF,,,50.0,200.0,medium (100–500),20.0,50.0,18+,Sudhaus Basel,Basel (CH),autumn,Ja,Afterwork- & Musikfans,Sudhaus Basel,https://www.instagram.com/sudhausbasel/,https://www.basel.com/en/events,0.8,Afterwork Vinyl & Drinks Basel | by Sudhaus Basel | on 2025-10-15 18:00:00 | in Sudhaus Basel
Trailrunning Festival Schwarzwald,2025-09-14 00:00:00,,,,Sport / Outdoor / Running,Nein,None,30.0,60.0,EUR,paid,mid,,,unknown,18.0,55.0,18+,Schwarzwald Region bei Freiburg,Freiburg (DE),autumn,Ja,Läufer & Outdoor-Fans,Trailrunning Community Schwarzwald,https://www.instagram.com/trailrun_schwarzwald/,https://www.freiburg.de/pb/1176329.html,0.3,Trailrunning Festival Schwarzwald | by Trailrunning Community Schwarzwald | on 2025-09-14 00:00:00 | in Schwarzwald Region bei Freiburg
Gospel Weihnachtskonzert Basel,2025-12-19 20:00:00,,,,Konzert / Gospel / Weihnachten,Nein,None,20.0,40.0,CHF,paid,mid,300.0,2000.0,large (>500),,,unknown,Johanneskirche Basel,Basel (CH),winter,Ja,Gospelfreunde & Familien,Johanneskirche Basel,https://www.instagram.com/basel_gospel/,https://www.basel.com/en/events,0.8,Gospel Weihnachtskonzert Basel | by Johanneskirche Basel | on 2025-12-19 20:00:00 | in Johanneskirche Basel
2nd Chamber Concert Freiburg,2025-11-23 11:00:00,,,,Kammerkonzert / Klassik,Nein,None,15.0,30.0,EUR,paid,mid,,,unknown,25.0,70.0,18+,"Theater Freiburg, Winterer-Foyer",Freiburg (DE),autumn,Ja,Klassik- & Musikliebhaber,Theater Freiburg,https://www.instagram.com/theater.freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"2nd Chamber Concert Freiburg | by Theater Freiburg | on 2025-11-23 11:00:00 | in Theater Freiburg, Winterer-Foyer"
"Kulturfilm – Amazones, femmes guerrières de l'Antiquité",2025-09-22 18:00:00,,,,Film / Vortrag / Kultur,Nein,None,5.0,10.0,EUR,paid,low,500.0,5000.0,large (>500),18.0,60.0,18+,Universität Freiburg,Freiburg (DE),autumn,Ja,Studierende & Kulturinteressierte,Universität Freiburg,https://www.instagram.com/uni_freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,"Kulturfilm – Amazones, femmes guerrières de l'Antiquité | by Universität Freiburg | on 2025-09-22 18:00:00 | in Universität Freiburg"
Sinu Konzert Freiburg,2025-11-21 20:00:00,,,,Konzert / Popmusik,Nein,None,20.0,40.0,EUR,paid,mid,,,unknown,16.0,40.0,13+,"Hilda5, Freiburg",Freiburg (DE),autumn,Ja,Popmusikfans & junge Erwachsene,Kulturaggregat Freiburg,https://www.instagram.com/sinu_music/,https://www.freiburg.de/pb/1176329.html,0.3,"Sinu Konzert Freiburg | by Kulturaggregat Freiburg | on 2025-11-21 20:00:00 | in Hilda5, Freiburg"
Create. Rheinfall Festival,2025-07-05 00:00:00,,,,Festival / Elektronische Musik,Nein,Multigenre,25.0,50.0,CHF,paid,mid,10000.0,,large (>500),18.0,35.0,18+,Neuhausen am Rheinfall,unknown,summer,Nein,Festivalcrowd & EDM-Fans,Create. Festival,https://www.instagram.com/create_rheinfall/,https://www.basel.com/en/events,0.8,Create. Rheinfall Festival | by Create. Festival | on 2025-07-05 00:00:00 | in Neuhausen am Rheinfall
Neujahrslauf Weil am Rhein,2026-01-01 11:00:00,,,,Laufveranstaltung / Sport,Nein,None,10.0,20.0,EUR,paid,mid,,,unknown,16.0,60.0,13+,Innenstadt Weil am Rhein,Weil am Rhein (DE),winter,Ja,Läufer & Sportfreunde,Stadt Weil am Rhein,https://www.instagram.com/stadtweilamrhein/,https://www.basel.com/en/events,0.8,Neujahrslauf Weil am Rhein | by Stadt Weil am Rhein | on 2026-01-01 11:00:00 | in Innenstadt Weil am Rhein
Theater Freiburg – Faust,2026-01-15 19:30:00,,,,Theater / Schauspiel / Klassiker,Nein,None,20.0,50.0,EUR,paid,mid,,,unknown,16.0,80.0,13+,Stadttheater Freiburg,Freiburg (DE),winter,Ja,Theaterliebhaber,Theater Freiburg,https://www.instagram.com/theater.freiburg/,https://www.freiburg.de/pb/1176329.html,0.3,Theater Freiburg – Faust | by Theater Freiburg | on 2026-01-15 19:30:00 | in Stadttheater Freiburg
Autorenlesung Literaturhaus Basel,2025-10-11 20:00:00,,,,Lesung / Literatur,Nein,None,10.0,20.0,CHF,paid,mid,,,unknown,18.0,70.0,18+,Literaturhaus Basel,Basel (CH),autumn,Ja,Literaturfreunde,Literaturhaus Basel,https://www.instagram.com/literaturhausbasel/,https://www.basel.com/en/events,0.8,Autorenlesung Literaturhaus Basel | by Literaturhaus Basel | on 2025-10-11 20:00:00 | in Literaturhaus Basel
Open House Baumwipfelpfad Schwarzwald,2025-09-27 00:00:00,,,,Outdoor / Tourismus / Familie,Nein,None,,,,,,,,unknown,,,unknown,Baumwipfelpfad Schwarzwald,unknown,autumn,Nein,Familien & Naturfreunde,Baumwipfelpfad Schwarzwald,https://www.instagram.com/baumwipfelpfad_schwarzwald/,https://www.basel.com/en/events,0.8,Open House Baumwipfelpfad Schwarzwald | by Baumwipfelpfad Schwarzwald | on 2025-09-27 00:00:00 | in Baumwipfelpfad Schwarzwald
Weihnachtschor Aachen – Gastspiel Basel,2025-12-20 19:00:00,,,,Konzert / Chormusik / Weihnachten,Nein,None,20.0,40.0,CHF,paid,mid,300.0,2000.0,large (>500),,,unknown,"St. Elisabeth Kirche, Basel",Basel (CH),winter,Ja,Klassik- & Chormusikfreunde,Gastchor Aachen & Kirche St. Elisabeth Basel,https://www.instagram.com/chorbasel/,https://www.basel.com/en/events,0.8,"Weihnachtschor Aachen – Gastspiel Basel | by Gastchor Aachen & Kirche St. Elisabeth Basel | on 2025-12-20 19:00:00 | in St. Elisabeth Kirche, Basel"
Basler Herbstmesse,2025-10-25 20:25:00,,,,Herbstmesse / Stadtfest / Kirmes,Nein,None,,,CHF,,,,,unknown,,,unknown,Innenstadt Basel,Basel (CH),autumn,Ja,Familien & Stadtfest-Besucher,Stadt Basel,https://www.instagram.com/basellive/,https://www.basel.com/en/events,0.8,Basler Herbstmesse | by Stadt Basel | on 2025-10-25 20:25:00 | in Innenstadt Basel
Lörrach Spring Festival – Lörrach swingt,2025-04-12 20:25:00,,,,Stadtfest / Musik & Kultur,Nein,None,,,EUR,,,500.0,5000.0,large (>500),,,unknown,Marktplatz Lörrach,Lörrach (DE),spring,Ja,Familien & Musikfreunde,Pro Lörrach e.V.,https://www.instagram.com/stadt.loerrach/,https://www.loerrach.de/veranstaltungen,0.9,Lörrach Spring Festival – Lörrach swingt | by Pro Lörrach e.V. | on 2025-04-12 20:25:00 | in Marktplatz Lörrach
Stimmen Festival 2025 – Voodoo Jürgens Opening,2025-06-26 20:00:00,,,,Konzert / Festival,Nein,Multigenre,40.0,80.0,EUR,paid,high,10000.0,,large (>500),18.0,60.0,18+,Burghof Lörrach,Lörrach (DE),summer,Ja,Festivalbesucher & Musikfans,Burghof Lörrach GmbH,https://www.instagram.com/stimmenfestival/,https://www.loerrach.de/veranstaltungen,0.9,Stimmen Festival 2025 – Voodoo Jürgens Opening | by Burghof Lörrach GmbH | on 2025-06-26 20:00:00 | in Burghof Lörrach
"Burghof Konzerte Lörrach (Fannie, Brueder Selke, Bummelkasten)",2025-11-05 20:25:00,,,,Konzert / Live Musik,Nein,None,20.0,40.0,EUR,paid,mid,,,unknown,16.0,60.0,13+,Burghof Lörrach,Lörrach (DE),autumn,Ja,Konzertbesucher,Burghof Lörrach GmbH,https://www.instagram.com/burghofloerrach/,https://www.loerrach.de/veranstaltungen,0.9,"Burghof Konzerte Lörrach (Fannie, Brueder Selke, Bummelkasten) | by Burghof Lörrach GmbH | on 2025-11-05 20:25:00 | in Burghof Lörrach"
Cityfest Rheinfelden mit City-Kirmes,2025-06-19 20:25:00,,,,Stadtfest / Kirmes / Markt,Nein,None,,,,,,,,unknown,,,unknown,Innenstadt Rheinfelden (Baden),unknown,summer,Nein,Community & Festbesucher,Stadt Rheinfelden,https://www.instagram.com/stadt_rheinfelden/,https://www.basel.com/en/events,0.8,Cityfest Rheinfelden mit City-Kirmes | by Stadt Rheinfelden | on 2025-06-19 20:25:00 | in Innenstadt Rheinfelden (Baden)
Festival der Kulturen Rheinfelden,2025-05-30 20:25:00,,,,Markt / Kultur / International,Nein,None,,,,,,500.0,5000.0,large (>500),18.0,70.0,18+,Innenstadt Rheinfelden (Baden),unknown,spring,Nein,Kultur- & Weltoffenheitsinteressierte,Bak Roots & Stadt Rheinfelden,https://www.instagram.com/rheinfelden_events/,https://www.basel.com/en/events,0.8,Festival der Kulturen Rheinfelden | by Bak Roots & Stadt Rheinfelden | on 2025-05-30 20:25:00 | in Innenstadt Rheinfelden (Baden)
Bio-Herbstmarkt Freiburg,2025-09-27 00:00:00,,,,Markt / Genuss / Regional,Nein,None,,,EUR,,,,,unknown,,,unknown,Innenstadt Freiburg,Freiburg (DE),autumn,Ja,Genussliebhaber & Marktbesucher,Stadt Freiburg,https://www.instagram.com/freiburg_de/,https://www.freiburg.de/pb/1176329.html,0.3,Bio-Herbstmarkt Freiburg | by Stadt Freiburg | on 2025-09-27 00:00:00 | in Innenstadt Freiburg
